"Type"	"Family"	"Timepoint"	"Covariate1"	"Covariate2"	"Binary_phenotype_dynamic"	"Factor_phenotype_dynamic"	"Quant_phenotype_dynamic"	"Binary_phenotype_static"	"Factor_phenotype_static"	"Quant_phenotype_static"
"Sample0001"	"Infant"	"FAM001"	"M6"	"Covar1.1"	-0.829286342503516	"BinaryDynamic1"	"LevelDynamic2"	1.3644550306435	"BinaryStatic2"	"LevelStatic3"	-1.02675956722157
"Sample0002"	"Infant"	"FAM001"	"M3"	"Covar1.1"	0.189464978582545	"BinaryDynamic2"	"LevelDynamic2"	-1.32810600650634	"BinaryStatic2"	"LevelStatic3"	-1.02675956722157
"Sample0003"	"Infant"	"FAM001"	"M1"	"Covar1.1"	-1.1888637342896	"BinaryDynamic1"	"LevelDynamic1"	-0.319333983298482	"BinaryStatic2"	"LevelStatic3"	-1.02675956722157
"Sample0004"	"Infant"	"FAM001"	"W2"	"Covar1.3"	0.637402211377345	"BinaryDynamic1"	"LevelDynamic3"	0.239143334468832	"BinaryStatic2"	"LevelStatic3"	-1.02675956722157
"Sample0005"	"Infant"	"FAM002"	"W2"	"Covar1.3"	0.555579599391586	"BinaryDynamic1"	"LevelDynamic2"	0.440618803358214	"BinaryStatic1"	"LevelStatic3"	0.419887361397194
"Sample0006"	"Infant"	"FAM002"	"M1"	"Covar1.3"	0.192257101039299	"BinaryDynamic2"	"LevelDynamic2"	0.391222063078317	"BinaryStatic1"	"LevelStatic3"	0.419887361397194
"Sample0007"	"Infant"	"FAM003"	"M12"	"Covar1.1"	1.02682614081388	"BinaryDynamic2"	"LevelDynamic3"	-0.514079971869922	"BinaryStatic1"	"LevelStatic3"	0.0567666214200424
"Sample0008"	"Infant"	"FAM003"	"M1"	"Covar1.3"	-0.983477831004357	"BinaryDynamic1"	"LevelDynamic1"	1.53269742282793	"BinaryStatic1"	"LevelStatic3"	0.0567666214200424
"Sample0009"	"Infant"	"FAM003"	"W2"	"Covar1.1"	-0.932695191301619	"BinaryDynamic1"	"LevelDynamic2"	-2.41237063844713	"BinaryStatic1"	"LevelStatic3"	0.0567666214200424
"Sample0010"	"Infant"	"FAM003"	"M3"	"Covar1.1"	-0.962873237165812	"BinaryDynamic2"	"LevelDynamic3"	-2.05752894259286	"BinaryStatic1"	"LevelStatic3"	0.0567666214200424
"Sample0011"	"Infant"	"FAM003"	"M6"	"Covar1.1"	-0.81371210804954	"BinaryDynamic2"	"LevelDynamic3"	-1.16816192437908	"BinaryStatic1"	"LevelStatic3"	0.0567666214200424
"Sample0012"	"Infant"	"FAM004"	"M6"	"Covar1.1"	-0.194512393646536	"BinaryDynamic2"	"LevelDynamic2"	1.27002144764317	"BinaryStatic1"	"LevelStatic2"	0.134813311302465
"Sample0013"	"Infant"	"FAM004"	"M3"	"Covar1.3"	1.91601258971996	"BinaryDynamic2"	"LevelDynamic3"	0.682805722878573	"BinaryStatic1"	"LevelStatic2"	0.134813311302465
"Sample0014"	"Infant"	"FAM004"	"W2"	"Covar1.3"	0.701769215376893	"BinaryDynamic1"	"LevelDynamic2"	-0.39388283092154	"BinaryStatic1"	"LevelStatic2"	0.134813311302465
"Sample0015"	"Infant"	"FAM004"	"M1"	"Covar1.2"	0.970549438716164	"BinaryDynamic1"	"LevelDynamic1"	0.291170476197478	"BinaryStatic1"	"LevelStatic2"	0.134813311302465
"Sample0016"	"Infant"	"FAM005"	"M12"	"Covar1.3"	-0.128396479758676	"BinaryDynamic1"	"LevelDynamic1"	0.635392746109565	"BinaryStatic1"	"LevelStatic3"	0.442688944614056
"Sample0017"	"Infant"	"FAM006"	"W2"	"Covar1.3"	-1.39470512574816	"BinaryDynamic1"	"LevelDynamic1"	0.269853797311275	"BinaryStatic1"	"LevelStatic3"	-0.719126812722784
"Sample0018"	"Infant"	"FAM006"	"M1"	"Covar1.1"	0.708553414978896	"BinaryDynamic1"	"LevelDynamic3"	0.86414041514388	"BinaryStatic1"	"LevelStatic3"	-0.719126812722784
"Sample0019"	"Infant"	"FAM006"	"M3"	"Covar1.2"	-0.205611965270065	"BinaryDynamic2"	"LevelDynamic3"	-1.41484356520295	"BinaryStatic1"	"LevelStatic3"	-0.719126812722784
